id,distributor,page,raw,description,part_number,price,make,model,year_range,category,updated_at
8de32671f6,Listado General Jefcar 2026,2,104221T BOTA INTERNA TRICETA - CHEVROLET SPARK B/. 2 .75,BOTA INTERNA TRICETA - CHEVROLET SPARK,104221T,2.0,Chevrolet,,,,2026-03-08T13:15:29.710844
8eac1fdfe2,Listado General Jefcar 2026,2,104420T BOTA INTERNA TRICETA - CHEVROLET AVEO B/. 2 .75,BOTA INTERNA TRICETA - CHEVROLET AVEO,104420T,2.0,Chevrolet,,,,2026-03-08T13:15:29.710858
117f06e86b,Listado General Jefcar 2026,2,164301-A BOTA INTERNA TRICETA - NISSAN FRONTIER BAJA B/. 3 .00,BOTA INTERNA TRICETA - NISSAN FRONTIER BAJA,164301,3.0,Nissan,,,,2026-03-08T13:15:29.710873
8e6b681a0d,Listado General Jefcar 2026,2,164301-B BOTA INTERNA TRICETA - NISSAN FRONTIER ALTA B/. 3 .00,BOTA INTERNA TRICETA - NISSAN FRONTIER ALTA,164301,3.0,Nissan,,,,2026-03-08T13:15:29.710892
f3980c5905,Listado General Jefcar 2026,2,164701 BOTA INTERNA TRICETA - NISSAN XTRAIL BAJA B/. 3 .00,BOTA INTERNA TRICETA - NISSAN XTRAIL BAJA,164701,3.0,Nissan,,,,2026-03-08T13:15:29.710908
cb30ae2813,Listado General Jefcar 2026,2,174301 BOTA INTERNA TRICETA - TOYOTA HILUX VIGO B/. 3 .50,BOTA INTERNA TRICETA - TOYOTA HILUX VIGO,174301,3.0,Toyota,,,,2026-03-08T13:15:29.710922
28e14c290e,Listado General Jefcar 2026,2,174401 BOTA INTERNA TRICETA - TOYOTA PRADO TXL B/. 3 .50,BOTA INTERNA TRICETA - TOYOTA PRADO TXL,174401,3.0,Toyota,,,,2026-03-08T13:15:29.710936
431ee1939a,Listado General Jefcar 2026,2,174601 BOTA INTERNA TRICETA - TOYOTA PRADO B/. 3 .00,BOTA INTERNA TRICETA - TOYOTA PRADO,174601,3.0,Toyota,,,,2026-03-08T13:15:29.710950
9172f6822b,Listado General Jefcar 2026,2,174710 BOTA INTERNA TRICETA - NISSAN XTRAIL ALTA B/. 3 .00,BOTA INTERNA TRICETA - NISSAN XTRAIL ALTA,174710,3.0,Nissan,,,,2026-03-08T13:15:29.710964
ac08956fc4,Listado General Jefcar 2026,2,101630 BOTA CREMALLERA - ISUZU DMAX B/. 2 .75,BOTA CREMALLERA - ISUZU DMAX,101630,2.0,Isuzu,,,,2026-03-08T13:15:29.710991
93a00ea7e6,Listado General Jefcar 2026,2,153110 BOTA CREMALLERA - NISSAN SENTRA HIDRAULICA B/. 2 .50,BOTA CREMALLERA - NISSAN SENTRA HIDRAULICA,153110,2.0,Nissan,,,,2026-03-08T13:15:29.711004
e3ecad9f6f,Listado General Jefcar 2026,2,163004 BOTA CREMALLERA - NISSAN SENTRA RH B/. 2 .50,BOTA CREMALLERA - NISSAN SENTRA RH,163004,2.0,Nissan,,,,2026-03-08T13:15:29.711017
76417801d1,Listado General Jefcar 2026,2,163005 BOTA CREMALLERA - NISSAN SENTRA LH B/. 2 .50,BOTA CREMALLERA - NISSAN SENTRA LH,163005,2.0,Nissan,,,,2026-03-08T13:15:29.711031
8c9bd402c6,Listado General Jefcar 2026,2,173601 BOTA CREMALLERA - TOYOTA PRADO B/. 2 .75,BOTA CREMALLERA - TOYOTA PRADO,173601,2.0,Toyota,,,,2026-03-08T13:15:29.711044
